Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EV,EV FQ-1,EV FQ-2,EV FQ-3,EV FQ-4,EV FQ-5,EV FQ-6,EV FQ-7,EV FQ-8,EV FQ-9,EV FQ-10,EV FQ-11,EV FQ-12
411,Lam Soon (Hong Kong) Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",294.5 M,2023,104.4 M,86.176 M,130.2 M,208.4 M,238.3 M,246.8 M,237.6 M,272.2 M,238.3 M,175.6 M,231.6 M,200.9 M,276 M
474,Aceso Life Science Group Limited,Financials,Consumer Finance,Diversified Financials,167.4 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2689,Nine Dragons Paper (Holdings) Limited,Materials,Paper & Forest Products,Materials,3.652 B,2023,9.857 B,8.127 B,8.195 B,8.329 B,8.81 B,9.555 B,9.033 B,9.879 B,9.64 B,8.866 B,7.177 B,7.212 B,8.24 B
3818,"China Dongxiang (Group) Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,242.8 M,2023,-279.9 M,-233.6 M,-344.1 M,-210.3 M,-146.5 M,245.9 M,-92.116 M,-160.4 M,4.14 M,-200.1 M,195.6 M,338.1 M,338.2 M
159,Brockman Mining Limited,Materials,Metals & Mining,Materials,189.2 M,2023,195 M,215.8 M,322.2 M,328.6 M,346.9 M,353.4 M,264.1 M,168.3 M,130.7 M,136.7 M,133.5 M,176.6 M,155.2 M
1221,Sino Hotels (Holdings) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,327.5 M,2023,218.4 M,199 M,174.8 M,195.5 M,213 M,198.6 M,238.4 M,238.1 M,268 M,222.4 M,235.7 M,248.9 M,268 M
17,New World Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,6.861 B,2023,11.237 B,12.184 B,14.229 B,14.417 B,10.391 B,13.742 B,18.216 B,18.687 B,14.844 B,17.694 B,17.068 B,15.828 B,13.375 B
306,Kwoon Chung Bus Holdings Limited,Industrials,Road & Rail,Transportation,139.1 M,2023,311.7 M,325.5 M,294.9 M,314 M,319.6 M,339.5 M,333.2 M,330.4 M,352.9 M,352.4 M,388.3 M,397 M,419.1 M
931,China LNG Group Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,269.6 M,2023,338.1 M,358.6 M,312.4 M,389.6 M,350 M,407 M,458.4 M,403.7 M,271 M,301.6 M,311.1 M,496.4 M,516.3 M
163,Emperor International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,313.9 M,2023,2.983 B,3.148 B,3.337 B,3.406 B,3.596 B,3.576 B,3.642 B,3.649 B,3.702 B,3.67 B,3.442 B,3.608 B,3.715 B
8299,Grand T G Gold Holdings Limited,Materials,Metals & Mining,Materials,103 M,2023,146.3 M,252.1 M,290.4 M,69.321 M,69.839 M,68.845 M,68.255 M,68.058 M,65.736 M,64.335 M,62.143 M,65.215 M,65.267 M
650,Productive Technologies Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,900.4 M,2023,739.7 M,789.6 M,1.04 B,842.8 M,629.1 M,775 M,682.3 M,539.3 M,300 M,472.3 M,419.7 M,460.3 M,582.7 M
18,Oriental Enterprise Holdings Limited,Communication Services,Media,Media,183.3 M,2023,92.513 M,138.2 M,129.8 M,130.4 M,132.7 M,158.6 M,71.327 M,56.059 M,52.399 M,57.779 M,45.947 M,98.026 M,117.7 M
64,Get Nice Holdings Limited,Financials,Capital Markets,Diversified Financials,184.6 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,HKR International Limited,Real Estate,Real Estate Management & Development,Real Estate,490.1 M,2023,943.9 M,707.2 M,887.1 M,976.5 M,285.5 M,433.5 M,288.8 M,331.8 M,384.9 M,254 M,261.1 M,329.4 M,298.1 M
52,Fairwood Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,191.4 M,2023,242.3 M,314.3 M,299 M,305.4 M,351.7 M,375.3 M,376.4 M,388.8 M,425.4 M,411.7 M,336.6 M,420.3 M,298.2 M
1830,Perfect Medical Health Management Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,646.7 M,2023,586.8 M,635.7 M,714.6 M,826.9 M,864.3 M,1.404 B,570.2 M,412.6 M,259.9 M,338.7 M,231 M,396.3 M,319.6 M
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,204.7 M,164.9 M,142.4 M,206.2 M,185.7 M,206 M,213.3 M,253.5 M,239 M,239 M,239.5 M,222 M,140.4 M
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,307.2 M,174.4 M,142.6 M,170.8 M,175 M,206.6 M,375.4 M,159 M,141.8 M,141.1 M,145.2 M,176.8 M,105 M
1341,Hao Tian International Construction Investment Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,231.2 M,2023,149.7 M,302.1 M,180.9 M,328.4 M,337.4 M,386.9 M,177.3 M,187.5 M,174.7 M,63.232 M,107 M,148.4 M,128.5 M
2138,EC Healthcare,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.024 B,2023,1.087 B,1.232 B,1.187 B,1.623 B,1.63 B,2.033 B,932 M,810.7 M,631 M,520.9 M,445 M,694.6 M,606.7 M
277,Tern Properties Company Limited,Real Estate,Real Estate Management & Development,Real Estate,135.2 M,2023,69.935 M,63.415 M,80.57 M,66.61 M,48.22 M,43.517 M,49.988 M,32.716 M,88.396 M,97.439 M,74.326 M,71.278 M,63.135 M
497,CSI Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,189.8 M,2023,702 M,499.2 M,517.9 M,559.2 M,803 M,962.4 M,658.6 M,667.7 M,598 M,645 M,458.7 M,443.5 M,647.7 M
825,New World Department Store China Limited,Consumer Discretionary,Multiline Retail,Retailing,193.3 M,2023,697.8 M,722.5 M,801.6 M,785.3 M,889.3 M,818.7 M,842.5 M,752.6 M,826.7 M,837.9 M,776.2 M,804.2 M,263.6 M
1668,China South City Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,758 M,2023,4.346 B,4.414 B,4.171 B,4.232 B,4.003 B,4.492 B,4.117 B,4.431 B,3.511 B,3.833 B,4.192 B,4.422 B,4.257 B
650,Productive Technologies Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,900.4 M,2023,739.7 M,789.6 M,1.04 B,842.8 M,629.1 M,775 M,682.3 M,539.3 M,300 M,472.3 M,419.7 M,460.3 M,582.7 M
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,121.4 M,111.6 M,125 M,109.7 M,115.4 M,115.6 M,121.1 M,97.353 M,91.938 M,82.127 M,60.345 M,48.548 M,45.522 M
1929,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,Specialty Retail,Retailing,19.364 B,2023,21.691 B,20.303 B,20.291 B,20.078 B,20.187 B,23.898 B,17.157 B,14.457 B,15.31 B,11.838 B,9.504 B,11.971 B,9.612 B
277,Tern Properties Company Limited,Real Estate,Real Estate Management & Development,Real Estate,135.2 M,2023,69.935 M,63.415 M,80.57 M,66.61 M,48.22 M,43.517 M,49.988 M,32.716 M,88.396 M,97.439 M,74.326 M,71.278 M,63.135 M
341,Café de Coral Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,772 M,2023,981.4 M,1.113 B,1.113 B,1.178 B,1.199 B,1.326 B,1.453 B,1.447 B,1.499 B,1.477 B,1.211 B,1.628 B,1.426 B
1221,Sino Hotels (Holdings) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,327.5 M,2023,218.4 M,199 M,174.8 M,195.5 M,213 M,198.6 M,238.4 M,238.1 M,268 M,222.4 M,235.7 M,248.9 M,268 M
2368,Eagle Nice (International) Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,295.1 M,2023,335.3 M,313.1 M,300.3 M,317.5 M,326.7 M,355.8 M,329.2 M,274.5 M,256.1 M,213.2 M,198.8 M,244.2 M,191.8 M
