Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
548,Shenzhen Expressway Corporation Limited,Industrials,Transportation Infrastructure,Transportation,2.383 B,2022,755.6 M,197.5 M,173.1 M,178.2 M,192 M,216 M,183.8 M,269.2 M,168 M,89.289 M,39.878 M,123.1 M,156.3 M
225,Pokfulam Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,120.7 M,2022,10.839 M,2.421 M,3.006 M,3.02 M,2.159 M,2.165 M,1.699 M,1.703 M,2.478 M,2.478 M,3.446 M,3.429 M,4.193 M
450,Hung Hing Printing Group Limited,Materials,Containers & Packaging,Materials,126.1 M,2022,24.992 M,9.549 M,2.772 M,2.777 M,5.468 M,5.476 M,5.642 M,5.635 M,8.811 M,8.813 M,151.732 K,151.69 K,9.285 M
2327,Meilleure Health International Industry Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,159.1 M,2022,5.809 M,1.735 M,1.178 M,1.178 M,2.575 M,2.572 M,2.06 M,2.062 M,1.918 M,1.917 M,397.471 K,407.539 K,1.405 M
228,China Energy Development Holdings Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,124.7 M,2022,27.159 M,6.134 M,7.565 M,7.578 M,5.241 M,5.249 M,8.982 M,8.971 M,2.996 M,2.997 M,368.104 K,368.003 K,1.171 M
635,Playmates Holdings Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,166.2 M,2022,27.399 M,6.68 M,6.844 M,6.856 M,7.932 M,7.944 M,6.793 M,6.785 M,6.848 M,6.85 M,3.131 M,3.131 M,6.426 M
2314,Lee & Man Paper Manufacturing Limited,Materials,Paper & Forest Products,Materials,1.823 B,2022,102.9 M,12.157 M,47.493 M,47.576 M,70.908 M,71.016 M,137.5 M,137.3 M,169.6 M,169.7 M,92.416 M,92.391 M,111.5 M
316,Orient Overseas (International) Limited,Industrials,Marine,Transportation,12.661 B,2022,10.419 B,2.258 B,2.952 B,2.952 B,2.303 B,2.303 B,1.491 B,1.491 B,438.2 M,438.2 M,145.2 M,145.2 M,82.364 M
363,Shanghai Industrial Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,1.429 B,2022,1.289 B,202.6 M,445.2 M,445.9 M,357.4 M,356.9 M,250.7 M,250.7 M,262.3 M,262.3 M,335.9 M,334 M,347.4 M
200,Melco International Development Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.674 B,2022,-111.7 M,-36.183 M,-19.862 M,-19.892 M,-7.319 M,-7.31 M,-71.115 M,-71.138 M,-114.9 M,-114.9 M,320.5 M,318.6 M,347.8 M
1349,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co.,Ltd.",Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",1.049 B,2022,26.043 M,14.908 M,-7.979 M,991.972 K,12.174 M,9.654 M,10.388 M,1.351 M,12.222 M,11.595 M,6.257 M,-1.412 M,17.818 M
360,New Focus Auto Tech Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,100.9 M,2022,-6.113 M,-485.916 K,-,-,-321.429 K,-316.749 K,1.445 M,-48.674 K,-27.238 M,-27.173 M,-8.183 M,-7.973 M,-401.576 K
2317,Vedan International (Holdings) Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",100.9 M,2022,15.05 M,2.464 M,5.027 M,5.027 M,4.891 M,4.891 M,11.153 M,11.153 M,13.366 M,13.366 M,8.914 M,8.914 M,9.632 M
3813,Pou Sheng International (Holdings) Limited,Consumer Discretionary,Specialty Retail,Retailing,454.9 M,2022,155.9 M,40.599 M,22.201 M,55.938 M,21.061 M,31.81 M,92.191 M,103.6 M,66.64 M,53.072 M,60.189 M,14.183 M,81.59 M
982,Huafa Property Services Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,189.7 M,2022,40.39 M,10.872 M,8.686 M,8.699 M,8.656 M,8.645 M,4.64 M,4.642 M,7.057 M,7.055 M,2.742 M,2.727 M,6.574 M
215,Hutchison Telecommunications Hong Kong Holdings Limited,Communication Services,Wireless Telecommunication Services,Telecommunication Services,767.4 M,2022,174.5 M,44.269 M,42.501 M,42.575 M,8.08 M,8.093 M,46.237 M,46.18 M,12.254 M,12.258 M,48.061 M,48.048 M,15.528 M
976,Chiho Environmental Group Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,139 M,2022,90.928 M,22.551 M,21.035 M,21.067 M,33.48 M,33.439 M,3.831 M,3.832 M,245.145 K,245.077 K,-3.914 M,-3.891 M,11.406 M
6093,Hevol Services Group Co. Limited,Real Estate,Real Estate Management & Development,Real Estate,255.4 M,2022,24.873 M,6.665 M,6.745 M,6.647 M,4.142 M,4.082 M,3.226 M,3.102 M,1.989 M,1.984 M,1.149 M,1.12 M,1.499 M
1099,Sinopharm Group Co. Ltd.,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,9.064 B,2022,3.303 B,936.3 M,668.3 M,1.125 B,881.4 M,983.6 M,558.4 M,1.004 B,859.9 M,769.9 M,420.5 M,849.1 M,657.2 M
1717,Ausnutria Dairy Corporation Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",885.2 M,2022,151 M,23.967 M,54.904 M,54.106 M,52.654 M,65.059 M,68.091 M,26.952 M,61.31 M,50.873 M,63.741 M,44.603 M,47.462 M
1618,Metallurgical Corporation of China Ltd.,Industrials,Construction & Engineering,Capital Goods,9.37 B,2022,3.107 B,813.5 M,1.005 B,987.7 M,606.3 M,945.2 M,828.3 M,955.5 M,496.1 M,791.2 M,635.4 M,822 M,442.5 M
750,China Shuifa Singyes Energy Holdings Limited,Industrials,Construction & Engineering,Capital Goods,212 M,2022,125.8 M,34.936 M,43.137 M,42.509 M,29.568 M,29.138 M,14.528 M,13.967 M,15.928 M,15.89 M,-28.751 M,-28.013 M,-19.507 M
1368,Xtep International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,2.947 B,2022,222.4 M,41.506 M,70.386 M,74.378 M,55.099 M,54.297 M,53.572 M,52.792 M,30.614 M,29.431 M,35.357 M,35.272 M,33.035 M
757,Solargiga Energy Holdings Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,116.4 M,2022,105 M,21.981 M,-,-,22.796 M,22.464 M,4.394 M,12.291 M,11.179 M,11.152 M,12.715 M,12.389 M,1.603 M
848,Maoye International Holdings Limited,Consumer Discretionary,Multiline Retail,Retailing,159.1 M,2022,303.2 M,-,69.451 M,73.39 M,70.536 M,69.51 M,82.617 M,81.414 M,107.5 M,103.3 M,85.797 M,85.591 M,106.5 M
1665,Pentamaster International Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,253.8 M,2022,30.63 M,7.254 M,7.748 M,7.827 M,7.277 M,8.062 M,7.891 M,4.887 M,7.242 M,7.23 M,7.082 M,4.524 M,7.551 M
196,Honghua Group Limited,Energy,Energy Equipment & Services,Energy,153.4 M,2022,-81.364 M,-23.159 M,-19.785 M,-19.497 M,5.22 M,5.144 M,14.617 M,14.053 M,19.176 M,19.13 M,13.07 M,12.735 M,23.974 M
3808,Sinotruk (Hong Kong) Limited,Industrials,Machinery,Capital Goods,3.946 B,2022,448.7 M,187.2 M,49.783 M,49.059 M,464.5 M,457.7 M,467.5 M,449.5 M,342.4 M,341.6 M,172 M,167.5 M,333.5 M
1230,Yashili International Holdings Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",713.4 M,2022,-7.683 M,-10.018 M,5.945 M,5.858 M,4.417 M,4.352 M,2.275 M,2.187 M,3.602 M,3.594 M,4.981 M,4.854 M,3.73 M
1238,Powerlong Real Estate Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,791.2 M,2022,939.9 M,274 M,222.2 M,218.9 M,499 M,491.7 M,359.8 M,345.9 M,393 M,392.1 M,241.4 M,235.2 M,289.6 M
1128,"Wynn Macau, Limited",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,4.912 B,2022,-263.5 M,-111.5 M,-19.06 M,-33.562 M,-7.262 M,42.405 M,13.531 M,36.246 M,-125.7 M,-205.3 M,-21.921 M,305.6 M,241.6 M
2139,"Bank of Gansu Co., Ltd.",Financials,Banks,Banks,1.728 B,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
1044,Hengan International Group Company Limited,Consumer Staples,Personal Products,Household & Personal Products,5.33 B,2022,532.6 M,96.729 M,174 M,183.9 M,124.9 M,123.1 M,229.3 M,226 M,186.1 M,178.9 M,254 M,253.4 M,193.5 M
1198,Royale Home Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,662.1 M,2022,21.441 M,-1.092 M,11.887 M,11.905 M,-2.001 M,-1.999 M,8.382 M,8.385 M,-5.973 M,-5.971 M,8.047 M,8.001 M,2.69 M
440,Dah Sing Financial Holdings Limited,Financials,Banks,Banks,792.2 M,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
934,Sinopec Kantons Holdings Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,855.1 M,2022,35.76 M,3.887 M,12.362 M,12.383 M,5.833 M,5.842 M,13.076 M,13.06 M,-,-,11.096 M,11.093 M,-23.296 M
326,China Star Entertainment Limited,Communication Services,Entertainment,Media,203.8 M,2022,-32.339 M,-2.657 M,-,-,-2.104 M,-2.101 M,-7 M,-4.204 M,-6.527 M,-6.525 M,-12.897 M,-12.823 M,-1.743 M
683,Kerry Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,3.744 B,2022,877.4 M,193.9 M,246.8 M,247.1 M,220.4 M,220.2 M,334.5 M,334.6 M,133.8 M,133.7 M,187.6 M,186.6 M,319.6 M
28,Tian An China Investments Company Limited,Real Estate,Real Estate Management & Development,Real Estate,747.1 M,2022,227.2 M,89.582 M,23.266 M,23.307 M,55.019 M,55.103 M,6.865 M,6.857 M,19.331 M,19.337 M,15.292 M,15.288 M,20.845 M
2388,BOC Hong Kong (Holdings) Limited,Financials,Banks,Banks,33.874 B,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
255,Lung Kee (Bermuda) Holdings Limited,Industrials,Machinery,Capital Goods,200.4 M,2022,20.278 M,-,8.264 M,8.279 M,14.329 M,14.351 M,14.435 M,14.417 M,12.865 M,12.869 M,9.974 M,9.972 M,10.624 M
14,Hysan Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,2.865 B,2022,358.8 M,81.405 M,97.236 M,97.405 M,96.068 M,96.214 M,106.2 M,106.1 M,93.518 M,93.548 M,113.7 M,113.7 M,98.173 M
2338,"Weichai Power Co., Ltd.",Industrials,Machinery,Capital Goods,12.729 B,2022,1.443 B,457.1 M,509.4 M,446.7 M,713.4 M,1.128 B,1.071 B,565.4 M,881.2 M,790.7 M,694.1 M,630.2 M,651.1 M
611,China Nuclear Energy Technology Corporation Limited,Industrials,Construction & Engineering,Capital Goods,103.8 M,2022,50.561 M,12.487 M,-,-,11.562 M,11.547 M,5.739 M,6.243 M,6.661 M,6.66 M,8.699 M,8.648 M,6.937 M
8137,Honbridge Holdings Limited,Industrials,Electrical Equipment,Capital Goods,1.092 B,2022,-7.978 M,-3.745 M,-438.833 K,-4.271 M,2.072 M,-1.69 M,-,-,1.166 M,-1.39 M,-,-,4.874 M
860,Apollo Future Mobility Group Limited,Consumer Discretionary,Distributors,Retailing,175.1 M,2022,-16.903 M,-5.715 M,-2.914 M,-2.928 M,-4.449 M,-4.46 M,-12.982 M,-13.018 M,-4.891 M,-4.891 M,-2.072 M,-2.062 M,1.443 M
293,Cathay Pacific Airways Limited,Industrials,Airlines,Transportation,6.011 B,2022,1.401 B,541.7 M,155 M,155.2 M,458.3 M,459 M,-49.071 M,-49.01 M,-93.325 M,-93.354 M,-123 M,-122.9 M,294.8 M
2488,Launch Tech Company Limited,Consumer Discretionary,Auto Components,Automobiles & Components,120.6 M,2022,15.706 M,5.596 M,4.786 M,6.775 M,9.257 M,9.123 M,-1.283 M,-625.505 K,3.405 M,3.396 M,-7.186 M,-7.868 M,6.861 M
2348,Dawnrays Pharmaceutical (Holdings) Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",255.9 M,2022,66.124 M,20.769 M,14.135 M,13.93 M,19.423 M,19.14 M,15.14 M,14.555 M,12.415 M,12.385 M,10.319 M,10.054 M,14.41 M
251,S E A Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,145.7 M,2022,31.315 M,5.616 M,10.116 M,10.131 M,12.301 M,12.286 M,14.216 M,14.221 M,15.457 M,15.453 M,17.459 M,17.359 M,20.826 M
525,Guangshen Railway Company Limited,Industrials,Road & Rail,Transportation,1.904 B,2022,-58.911 M,-2.781 M,-9.557 M,-84.551 M,7.919 M,91.44 M,49.048 M,373.506 K,-31.226 M,16.21 M,-5.663 M,45.865 M,82.981 M
535,Gemdale Properties and Investment Corporation Limited,Real Estate,Real Estate Management & Development,Real Estate,1.1 B,2022,82.66 M,29.312 M,14.33 M,14.121 M,47.287 M,46.598 M,312.4 M,300.4 M,91.86 M,91.64 M,282.5 M,275.2 M,58.65 M
86,Sun Hung Kai & Co. Limited,Financials,Consumer Finance,Diversified Financials,756.8 M,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
726,DIT Group Limited,Real Estate,Real Estate Management & Development,Real Estate,126.4 M,2022,47.017 M,8.774 M,14.846 M,14.868 M,7.068 M,7.059 M,15.36 M,15.365 M,4.072 M,4.071 M,3.986 M,3.963 M,2.5 M
867,China Medical System Holdings Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",3.811 B,2022,545.4 M,128.9 M,143.8 M,152 M,127.4 M,125.5 M,134.6 M,132.6 M,116.6 M,112.1 M,101.8 M,101.5 M,88.161 M
2779,China Xinhua Education Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,178.3 M,2022,58.339 M,16.585 M,14.207 M,14 M,18.577 M,18.307 M,14.739 M,14.17 M,12.335 M,12.305 M,9.84 M,9.588 M,11.761 M
1029,IRC Limited,Materials,Metals & Mining,Materials,112.9 M,2022,90.815 M,24.904 M,20.503 M,20.503 M,61.454 M,61.454 M,20.532 M,20.532 M,15.033 M,15.033 M,5.343 M,5.343 M,7.897 M
2377,"China Boqi Environmental (Holding) Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,120.4 M,2022,43.804 M,-,9.128 M,9.646 M,13.919 M,13.716 M,12.515 M,12.332 M,9.47 M,9.105 M,11.203 M,11.176 M,9.349 M
2238,"Guangzhou Automobile Group Co., Ltd.",Consumer Discretionary,Automobiles,Automobiles & Components,12.358 B,2022,-625.5 M,-110.7 M,-114.6 M,-70.318 M,72.653 M,21.337 M,27.287 M,-168.1 M,46.996 M,-5.691 M,21.452 M,-457.9 M,-50.089 M
1733,E-Commodities Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,496 M,2022,287.5 M,77.757 M,66.97 M,67.087 M,224.4 M,224.7 M,66.365 M,66.283 M,23.074 M,23.081 M,28.76 M,28.752 M,12.835 M
2233,West China Cement Limited,Materials,Construction Materials,Materials,651.3 M,2022,415 M,118.2 M,100.9 M,99.429 M,110.1 M,108.5 M,107.6 M,103.5 M,82.779 M,82.58 M,133.8 M,130.4 M,68.638 M
951,Chaowei Power Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,263 M,2022,250.2 M,30.471 M,101.5 M,100 M,31.608 M,31.148 M,90.419 M,86.926 M,31.534 M,31.459 M,76.664 M,74.697 M,34.305 M
1308,SITC International Holdings Company Limited,Industrials,Marine,Transportation,5.741 B,2022,1.896 B,385.2 M,563 M,563 M,376.2 M,376.2 M,245.1 M,245.1 M,150.3 M,150.3 M,58.233 M,58.233 M,73.8 M
220,Uni-President China Holdings Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",4.534 B,2022,380.6 M,90.893 M,94.036 M,99.37 M,104.2 M,102.6 M,126.3 M,124.5 M,90.426 M,86.933 M,141.6 M,141.2 M,83.087 M
189,Dongyue Group Limited,Materials,Chemicals,Materials,2.354 B,2022,829.3 M,217.3 M,220.9 M,217.7 M,100.8 M,99.347 M,63.513 M,61.06 M,53.34 M,53.212 M,90.374 M,88.054 M,100.6 M
906,CPMC Holdings Limited,Materials,Containers & Packaging,Materials,631.2 M,2022,129.7 M,31.383 M,33.405 M,35.3 M,33.579 M,33.091 M,36.807 M,36.271 M,33.807 M,32.501 M,30.937 M,30.863 M,26.083 M
2002,China Sunshine Paper Holdings Company Limited,Materials,Containers & Packaging,Materials,274 M,2022,112.6 M,28.906 M,30.535 M,30.091 M,44.506 M,43.858 M,39.03 M,37.522 M,30.078 M,30.006 M,31.501 M,30.692 M,23.354 M
486,"United Company RUSAL, International Public Joint-Stock Company",Materials,Metals & Mining,Materials,7.626 B,2022,2.015 B,106.5 M,901 M,901 M,785 M,785 M,657 M,657 M,319.5 M,319.5 M,109.5 M,109.5 M,193 M
1928,Sands China Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,27.425 B,2022,-413 M,-109 M,-97.5 M,-97.5 M,16 M,16 M,84.5 M,84.5 M,-152 M,-152 M,-135.5 M,-135.5 M,720.5 M
3738,Vobile Group Limited,Information Technology,Software,Software & Services,1.11 B,2022,11.229 M,6.716 M,-1.097 M,-1.099 M,3.234 M,3.23 M,-1.973 M,-1.974 M,1.142 M,1.142 M,-1.119 M,-1.119 M,-98.5 K
1866,China XLX Fertiliser Ltd.,Materials,Chemicals,Materials,735.2 M,2022,666.9 M,201.6 M,150.4 M,148.2 M,138.2 M,136.2 M,67.666 M,65.052 M,57.287 M,57.149 M,44.147 M,43.014 M,60.52 M
837,Carpenter Tan Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,106.5 M,2022,18.65 M,5.525 M,4.319 M,4.256 M,5.651 M,5.569 M,4.58 M,4.403 M,1.859 M,1.855 M,4.421 M,4.308 M,5.65 M
1628,Yuzhou Group Holdings Company Limited,Real Estate,Real Estate Management & Development,Real Estate,233.4 M,2022,167.8 M,50.64 M,36.069 M,35.545 M,134.1 M,132.1 M,-21.066 M,-20.252 M,-28.506 M,-28.437 M,126.5 M,123.3 M,193.9 M
737,Shenzhen Investment Holdings Bay Area Development Company Limited,Industrials,Transportation Infrastructure,Transportation,738.1 M,2022,16.976 M,-2.189 M,-1.771 M,-1.501 M,-1.986 M,-1.324 M,-1.648 M,-1.446 M,-1.261 M,-1.212 M,-1.326 M,-1.323 M,-1.16 M
604,Shenzhen Investment Limited,Real Estate,Real Estate Management & Development,Real Estate,1.451 B,2022,1.329 B,414.8 M,245.1 M,245.4 M,433 M,432.5 M,394.1 M,394.2 M,72.297 M,72.277 M,228.5 M,227.2 M,65.194 M
2899,Zijin Mining Group Company Limited,Materials,Metals & Mining,Materials,40.854 B,2022,5.264 B,1.572 B,1.647 B,1.28 B,1.416 B,1.282 B,1.009 B,748.9 M,826.5 M,694.5 M,511.8 M,523.5 M,489.6 M
775,"CK Life Sciences Int'l., (Holdings) Inc.",Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",930.5 M,2022,51.713 M,10.182 M,11.687 M,11.707 M,9.539 M,9.553 M,14.646 M,14.628 M,-1.776 M,-1.777 M,16.379 M,16.375 M,4.93 M
2628,China Life Insurance Company Limited,Financials,Insurance,Insurance,102 B,2022,6.335 B,2.395 B,3.073 B,-42.84 M,2.597 B,2.781 B,5.636 B,453.3 M,3.552 B,2.97 B,3.2 B,1.515 B,3.401 B
827,Ko Yo Chemical (Group) Limited,Materials,Chemicals,Materials,120.6 M,2022,132.2 M,40.887 M,29.023 M,28.601 M,25.407 M,25.037 M,6.777 M,6.516 M,4.25 M,4.239 M,1.528 M,1.489 M,-12.006 M
89,Tai Sang Land Development Limited,Real Estate,Real Estate Management & Development,Real Estate,148.1 M,2022,20.428 M,6.154 M,4.097 M,4.104 M,5.074 M,5.068 M,4.652 M,4.654 M,5.311 M,5.31 M,5.269 M,5.239 M,5.653 M
2313,Shenzhou International Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,16.364 B,2022,650.9 M,202.6 M,141 M,138.9 M,222.1 M,218.9 M,279.9 M,269.1 M,193.5 M,193 M,234.8 M,228.8 M,190.4 M
547,Digital Domain Holdings Limited,Communication Services,Entertainment,Media,137.9 M,2022,-24.155 M,-5.489 M,-5.837 M,-5.846 M,-6.204 M,-6.196 M,-10.553 M,-10.557 M,-7.166 M,-7.164 M,-11.599 M,-10.321 M,-8.111 M
3318,China Boton Group Company Limited,Materials,Chemicals,Materials,414.3 M,2022,65.022 M,12.043 M,20.702 M,21.876 M,18.311 M,18.044 M,19.618 M,19.332 M,16.827 M,16.177 M,16.146 M,16.107 M,17.072 M
8446,In Technical Productions Holdings Limited,Communication Services,Entertainment,Media,841.8 M,2022,-1.209 M,-146.366 K,299.518 K,-187.438 K,-1.024 M,-482.088 K,-599.271 K,-499.898 K,-629.19 K,117.811 K,207.271 K,288.771 K,1.164 M
3308,Golden Eagle Retail Group Limited,Consumer Discretionary,Multiline Retail,Retailing,1.009 B,2022,358.8 M,82.407 M,96.934 M,102.4 M,95.662 M,94.271 M,108.7 M,107.2 M,100.7 M,96.837 M,76.04 M,75.857 M,94.604 M
27,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,28.708 B,2022,-165.2 M,-81.476 M,-12.435 M,-12.457 M,65.02 M,65.119 M,89.498 M,89.388 M,-50.411 M,-50.427 M,-111.5 M,-111.4 M,478.1 M
809,Global Bio-chem Technology Group Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",147.5 M,2022,-79.931 M,-19.399 M,-23.369 M,-23.404 M,-18.079 M,-18.056 M,-22.562 M,-22.569 M,-18.409 M,-18.404 M,6.031 M,5.996 M,-18.986 M
762,China Unicom (Hong Kong) Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,22.023 B,2022,11.857 B,2.77 B,3.851 B,3.353 B,3.295 B,2.756 B,3.926 B,2.992 B,2.873 B,2.969 B,3.534 B,2.879 B,2.851 B
914,Anhui Conch Cement Company Limited,Materials,Construction Materials,Materials,19.37 B,2022,4.684 B,1.006 B,1.141 B,2.308 B,1.572 B,1.893 B,1.27 B,2.15 B,1.683 B,2.044 B,1.086 B,2.1 B,1.607 B
1476,"Hengtai Securities Co., Ltd",Financials,Capital Markets,Diversified Financials,929 M,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,95.166 M,21.839 M,25.375 M,25.419 M,22.802 M,22.837 M,23.433 M,23.404 M,21.095 M,21.102 M,21.508 M,21.503 M,25.813 M
1053,Chongqing Iron & Steel Company Limited,Materials,Metals & Mining,Materials,1.798 B,2022,128.2 M,86.237 M,-,-2.657 M,73.301 M,326.8 M,206.2 M,98.584 M,71.431 M,48.217 M,32.234 M,34.46 M,45.85 M
6188,"Beijing Digital Telecom Co., Ltd.",Consumer Discretionary,Specialty Retail,Retailing,357.4 M,2022,-20.41 M,-7.424 M,-3.353 M,-3.304 M,-284.1 M,-280 M,7.812 M,7.51 M,12.612 M,12.582 M,20.141 M,19.624 M,22.246 M
376,Yunfeng Financial Group Limited,Financials,Insurance,Insurance,606.1 M,2022,54.156 M,6.161 M,21.063 M,21.095 M,51.843 M,51.779 M,53.613 M,53.63 M,27.713 M,27.705 M,28.192 M,28.029 M,19.398 M
607,Fullshare Holdings Limited,Industrials,Electrical Equipment,Capital Goods,378.3 M,2022,463.5 M,138.1 M,91.601 M,90.269 M,49.509 M,48.789 M,7.325 M,7.042 M,48.251 M,48.135 M,52.988 M,51.628 M,32.639 M
698,Tongda Group Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,143.6 M,2022,161.8 M,39.961 M,41.291 M,41.354 M,30.83 M,30.792 M,49.958 M,49.974 M,22.037 M,22.031 M,31.419 M,31.238 M,36.484 M
857,PetroChina Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,127.8 B,2022,62.042 B,16.311 B,17.549 B,15.968 B,14.212 B,11.689 B,15.652 B,1.414 B,18.474 B,7.043 B,8.13 B,10.697 B,11.365 B
119,"Poly Property Group Co., Limited",Real Estate,Real Estate Management & Development,Real Estate,895.7 M,2022,1.274 B,322.1 M,317.3 M,317.8 M,264.5 M,264.2 M,236.9 M,237 M,260 M,259.9 M,256.6 M,255.1 M,396.7 M
2357,AviChina Industry & Technology Company Limited,Industrials,Aerospace & Defense,Capital Goods,4.185 B,2022,891.4 M,205.3 M,255.2 M,269.7 M,235.3 M,231.9 M,275 M,271 M,259 M,248.9 M,134.4 M,134.1 M,173.5 M
511,Television Broadcasts Limited,Communication Services,Media,Media,544.6 M,2022,-52.855 M,-4.144 M,-20.804 M,-20.836 M,-9.086 M,-9.075 M,-321.446 K,-321.547 K,-13.366 M,-13.362 M,-4.457 M,-4.432 M,29.465 M
517,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,473.8 M,2022,33.934 M,7.473 M,9.569 M,9.583 M,9.235 M,9.224 M,4.589 M,4.59 M,4.941 M,4.94 M,3.247 M,3.228 M,5.531 M
19,Swire Pacific Limited,Real Estate,Real Estate Management & Development,Real Estate,10.126 B,2022,1.796 B,439.6 M,453.6 M,454.4 M,-,-,532.8 M,532.2 M,462 M,407 M,455.1 M,454.9 M,411.7 M
1223,Symphony Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,329.6 M,2022,4.848 M,-457.535 K,2.223 M,2.226 M,1.516 M,1.514 M,1.831 M,1.831 M,-1.596 M,-1.595 M,-585.315 K,-581.932 K,1.197 M
693,Tan Chong International Limited,Consumer Discretionary,Distributors,Retailing,436 M,2022,69.158 M,27.852 M,6.819 M,6.829 M,22.315 M,22.288 M,20.235 M,20.242 M,12.186 M,12.182 M,14.906 M,14.819 M,25.611 M
120,Cosmopolitan International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,1.649 B,2022,98.638 M,18.415 M,31.136 M,31.183 M,1.623 M,1.621 M,-470.817 K,-470.966 K,-2.245 M,-2.244 M,-3.247 M,-3.228 M,-966.521 K
3328,"Bank of Communications Co., Ltd.",Financials,Banks,Banks,47.273 B,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
489,Dongfeng Motor Group Company Limited,Consumer Discretionary,Automobiles,Automobiles & Components,3.961 B,2022,-800.1 M,-123.1 M,-302.6 M,-298.2 M,197.5 M,194.7 M,-49.864 M,-47.937 M,112.7 M,112.4 M,-159.5 M,-155.4 M,178.2 M
6878,Differ Group Auto Limited,Financials,Consumer Finance,Diversified Financials,156.1 M,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
1288,Agricultural Bank of China Limited,Financials,Banks,Banks,135.3 B,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
2878,Solomon Systech (International) Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,158.9 M,2022,27.518 M,2.665 M,11.094 M,11.094 M,6.524 M,6.572 M,5.575 M,5.575 M,2.417 M,2.417 M,1.169 M,1.169 M,-3.598 M
