Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
1708,Nanjing Sample Technology Company Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,423.8 M,2022,1.1x,1.1x,0.9x,0.9x,0.8x,0.8x,1.0x,1.0x,1.0x,1.0x,1.1x,1.1x,1.3x
560,Chu Kong Shipping Enterprises (Group) Company Limited,Industrials,Marine,Transportation,138.5 M,2022,1.8x,1.8x,1.5x,1.5x,1.6x,1.6x,1.6x,1.6x,1.8x,1.8x,1.7x,1.7x,2.3x
97,Henderson Investment Limited,Consumer Discretionary,Multiline Retail,Retailing,108.7 M,2022,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.7x,0.7x,0.7x,0.7x,0.6x,0.6x,0.6x
127,Chinese Estates Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,602.7 M,2022,0.9x,0.9x,0.7x,0.7x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.4x,0.4x,0.8x
1543,"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.",Financials,Consumer Finance,Diversified Financials,355.9 M,2022,5.8x,5.8x,6.3x,6.3x,6.6x,6.6x,6.2x,6.2x,5.2x,5.2x,6.2x,6.2x,4.7x
1548,Genscript Biotech Corporation,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",4.982 B,2022,2.6x,2.6x,3.3x,3.3x,3.1x,3.1x,2.8x,2.8x,3.6x,3.6x,2.2x,2.2x,3.4x
78,Regal Hotels International Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,360.7 M,2022,1.4x,1.4x,1.6x,1.6x,0.5x,0.5x,0.4x,0.4x,2.0x,2.0x,1.9x,1.9x,2.5x
2008,Phoenix Media Investment (Holdings) Limited,Communication Services,Media,Media,194 M,2022,1.8x,1.8x,1.7x,1.7x,1.8x,1.8x,2.0x,2.0x,1.9x,1.9x,1.9x,1.9x,2.2x
184,Keck Seng Investments (Hong Kong) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,125.7 M,2022,0.8x,0.8x,1.7x,1.7x,1.7x,1.7x,1.8x,1.8x,1.2x,1.2x,0.8x,0.8x,0.9x
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,-,NA,6.6x,6.6x,6.6x,6.6x,6.2x,6.2x,5.1x,5.1x,4.4x,4.4x,4.4x
62,Transport International Holdings Limited,Industrials,Road & Rail,Transportation,640.1 M,2022,-,NA,0.9x,0.9x,0.7x,0.7x,0.6x,0.6x,0.8x,0.8x,1.1x,1.1x,1.4x
32,The Cross-Harbour (Holdings) Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,509 M,2022,3.3x,3.3x,5.0x,5.0x,5.2x,5.2x,5.6x,5.6x,5.6x,5.6x,7.6x,7.6x,7.8x
1100,Mainland Headwear Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,116.3 M,2022,0.9x,0.9x,0.9x,0.9x,0.8x,0.8x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,0.9x
156,Lippo China Resources Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,139.3 M,2022,1.3x,1.3x,2.0x,2.0x,2.2x,2.2x,1.5x,1.5x,1.1x,1.1x,2.8x,2.8x,1.6x
346,Yanchang Petroleum International Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,126.1 M,2022,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.6x,0.6x,0.2x,0.2x,0.5x,0.5x,0.5x
1088,China Shenhua Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,71.854 B,2022,1.8x,2.0x,1.5x,2.2x,1.9x,2.0x,1.6x,2.0x,2.0x,2.0x,1.2x,0.9x,1.2x
1393,Hidili Industry International Development Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.9 M,2022,0.1x,0.1x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,1.0x,1.0x,0.9x,0.9x,1.0x,1.0x,0.4x,0.4x,1.4x,1.4x,0.7x,0.7x,1.0x
3838,China Starch Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",163.4 M,2022,1.6x,1.6x,1.2x,1.2x,1.5x,1.5x,0.6x,0.6x,0.9x,0.9x,0.8x,0.8x,1.0x
588,Beijing North Star Company Limited,Real Estate,Real Estate Management & Development,Real Estate,862.6 M,2022,0.4x,0.3x,0.4x,0.4x,0.4x,0.3x,0.4x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x
887,Emperor Watch & Jewellery Limited,Consumer Discretionary,Specialty Retail,Retailing,150.3 M,2022,-,NA,1.5x,1.5x,1.1x,1.1x,0.8x,0.8x,0.5x,0.5x,0.3x,0.3x,0.4x
2722,"Chongqing Machinery & Electric Co., Ltd.",Industrials,Industrial Conglomerates,Capital Goods,291 M,2022,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,0.9x,0.9x,0.9x,0.9x,0.9x,0.9x,0.8x
373,Allied Group Limited,Financials,Consumer Finance,Diversified Financials,774.4 M,2022,1.2x,1.2x,1.2x,1.2x,1.9x,1.9x,2.0x,2.0x,2.0x,2.0x,2.7x,2.7x,2.4x
2343,Pacific Basin Shipping Limited,Industrials,Marine,Transportation,2.151 B,2022,1.3x,1.3x,1.6x,1.6x,1.6x,1.6x,0.9x,0.9x,1.0x,1.0x,1.0x,1.0x,0.8x
289,Wing On Company International Limited,Consumer Discretionary,Multiline Retail,Retailing,511.4 M,2022,10.1x,10.1x,9.4x,9.4x,10.0x,10.0x,9.2x,9.2x,7.3x,7.3x,6.6x,6.6x,6.9x
258,Tomson Group Limited,Real Estate,Real Estate Management & Development,Real Estate,421.8 M,2022,0.8x,0.8x,0.9x,0.9x,0.8x,0.8x,0.7x,0.7x,0.7x,0.7x,0.7x,0.7x,0.7x
693,Tan Chong International Limited,Consumer Discretionary,Distributors,Retailing,436 M,2022,0.9x,0.9x,1.0x,1.0x,1.3x,1.3x,1.3x,1.3x,1.0x,1.0x,1.0x,1.0x,1.3x
142,First Pacific Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",1.295 B,2022,0.9x,0.9x,1.0x,1.0x,0.7x,0.7x,0.7x,0.7x,0.8x,0.8x,0.9x,0.9x,0.7x
120,Cosmopolitan International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,1.649 B,2022,0.1x,0.1x,0.1x,0.1x,0.0x,0.0x,0.1x,0.1x,0.3x,0.3x,0.4x,0.4x,0.3x
603,China Oil And Gas Group Limited,Utilities,Gas Utilities,Utilities,165.3 M,2022,0.8x,0.8x,1.1x,1.1x,1.0x,1.0x,1.1x,1.1x,0.8x,0.8x,1.0x,1.0x,0.4x
2038,FIH Mobile Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,877.9 M,2022,0.9x,0.9x,0.9x,0.9x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,0.9x,0.9x,0.9x
256,Citychamp Watch & Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,637.6 M,2022,10.8x,10.8x,9.7x,9.7x,6.1x,6.1x,6.5x,6.5x,5.3x,5.3x,4.9x,4.9x,5.7x
517,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,473.8 M,2022,6.6x,6.6x,5.7x,5.7x,5.6x,5.6x,5.3x,5.3x,5.7x,5.7x,6.6x,6.6x,7.4x
2698,Weiqiao Textile Company Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,176.5 M,2022,1.7x,1.7x,1.8x,1.8x,2.2x,2.2x,2.3x,2.3x,2.0x,2.0x,1.9x,1.9x,1.8x
1126,Dream International Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,365.6 M,2022,-,NA,0.9x,0.9x,1.1x,1.1x,0.9x,0.9x,1.3x,1.3x,1.2x,1.2x,1.4x
10,Hang Lung Group Limited,Real Estate,Real Estate Management & Development,Real Estate,2.39 B,2022,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.2x,0.2x,0.3x,0.3x,0.1x,0.1x,0.1x
1719,China Infrastructure & Logistics Group Ltd.,Industrials,Transportation Infrastructure,Transportation,219.8 M,2022,0.4x,0.4x,0.6x,0.6x,0.3x,0.3x,0.4x,0.4x,0.3x,0.3x,0.4x,0.4x,0.5x
580,Sun.King Technology Group Limited,Industrials,Electrical Equipment,Capital Goods,378 M,2022,3.7x,3.7x,3.3x,3.3x,3.5x,3.5x,2.4x,2.4x,2.5x,2.5x,2.0x,2.0x,2.1x
1091,South Manganese Investment Limited,Materials,Metals & Mining,Materials,231.5 M,2022,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.6x,0.6x,0.7x,0.7x,0.6x,0.6x,0.7x
1383,LET Group Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,160.8 M,2022,0.7x,0.7x,0.8x,0.8x,1.3x,1.3x,1.3x,1.3x,0.5x,0.5x,0.1x,0.1x,0.0x
505,Xingye Alloy Materials Group Limited,Industrials,Electrical Equipment,Capital Goods,113.8 M,2022,0.5x,0.5x,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.4x,0.4x,0.4x
439,KuangChi Science Limited,Industrials,Aerospace & Defense,Capital Goods,130.2 M,2022,2.0x,2.0x,2.2x,2.2x,0.6x,0.6x,0.7x,0.7x,0.9x,0.9x,0.9x,0.9x,1.3x
2299,Billion Industrial Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.015 B,2022,-,NA,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
776,Imperium Technology Group Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,177.9 M,2022,0.4x,0.4x,0.3x,0.3x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.8x,0.8x,0.8x
1692,Town Ray Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,146.3 M,2022,1.2x,1.2x,0.9x,0.9x,1.1x,1.1x,1.2x,1.2x,1.9x,1.9x,2.1x,2.1x,2.1x
2169,Canggang Railway Limited,Industrials,Road & Rail,Transportation,328.7 M,2022,-,NA,1.3x,1.3x,1.0x,1.0x,1.8x,1.8x,1.5x,1.5x,NA,NA,NA
2096,Simcere Pharmaceutical Group Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",2.942 B,2022,1.6x,1.6x,1.5x,1.5x,1.3x,1.3x,1.5x,1.5x,0.6x,0.6x,0.7x,0.7x,NA
1463,C-Link Squared Limited,Industrials,Professional Services,Commercial & Professional Services,431.1 M,2022,4.5x,4.5x,4.7x,4.7x,6.8x,6.8x,5.8x,5.8x,6.3x,6.3x,6.4x,NA,NA
1332,Touyun Biotech Group Limited,Materials,Containers & Packaging,Materials,246.6 M,2022,0.3x,0.3x,0.3x,0.3x,0.6x,0.6x,0.8x,0.8x,1.3x,1.3x,0.8x,0.8x,0.7x
1876,Budweiser Brewing Company APAC Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",40.082 B,2022,0.7x,NA,0.6x,NA,0.5x,NA,0.4x,NA,0.4x,NA,0.4x,NA,0.3x
9906,Honliv Healthcare Management Group Company Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,183.4 M,2022,0.9x,0.9x,0.8x,0.8x,0.8x,0.8x,0.7x,0.7x,0.3x,0.3x,0.3x,0.3x,NA
9908,"JiaXing Gas Group Co., Ltd.",Utilities,Gas Utilities,Utilities,174.5 M,2022,1.1x,1.1x,1.1x,1.1x,1.3x,1.3x,1.4x,1.4x,0.6x,0.6x,0.3x,0.3x,NA
9986,Dashan Education Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,318 M,2022,9.9x,9.9x,4.0x,4.0x,1.5x,1.5x,1.7x,1.7x,0.9x,0.9x,1.0x,1.0x,NA
6805,Kimou Environmental Holding Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,130.2 M,2022,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x
1817,Mulsanne Group Holding Limited,Consumer Discretionary,Specialty Retail,Retailing,303.8 M,2022,0.4x,0.4x,0.5x,0.5x,0.9x,0.9x,1.0x,1.0x,1.2x,1.2x,1.1x,1.1x,0.9x
1697,"Shandong International Trust Co., Ltd.",Financials,Capital Markets,Diversified Financials,231.5 M,2022,1.3x,1.3x,1.7x,1.7x,1.6x,1.6x,1.7x,1.7x,4.6x,4.6x,4.5x,4.5x,3.4x
1748,Xin Yuan Enterprises Group Limited,Industrials,Marine,Transportation,144.1 M,2022,0.6x,0.6x,0.1x,0.1x,0.3x,0.3x,0.3x,0.3x,0.4x,0.4x,0.1x,0.1x,0.9x
1034,Fullwealth International Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,201.8 M,2022,1.5x,1.5x,2.4x,2.4x,2.0x,2.0x,1.7x,1.7x,1.9x,1.9x,2.3x,2.3x,2.2x
1741,Ri Ying Holdings Limited,Industrials,Construction & Engineering,Capital Goods,136.6 M,2022,0.8x,0.8x,1.1x,1.1x,1.3x,1.3x,2.6x,2.6x,4.6x,4.6x,4.6x,4.6x,2.8x
1745,Lvji Technology Holdings Inc.,Information Technology,Software,Software & Services,127.2 M,2022,4.5x,4.5x,4.6x,4.6x,5.6x,5.6x,7.0x,7.0x,9.9x,9.9x,11.3x,11.3x,2.2x
1084,Green Future Food Hydrocolloid Marine Science Company Limited,Materials,Chemicals,Materials,134.6 M,2022,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.7x,0.7x,0.9x,0.9x,NA
1853,Jilin Province Chuncheng Heating Company Limited,Utilities,Water Utilities,Utilities,115.9 M,2022,0.6x,0.6x,0.6x,0.6x,0.7x,0.7x,0.6x,0.6x,1.8x,1.8x,0.6x,0.6x,NA
1967,Confidence Intelligence Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,738.9 M,2022,3.1x,3.1x,2.5x,2.5x,1.7x,1.7x,2.5x,2.5x,5.1x,5.1x,3.5x,3.5x,NA
3886,Town Health International Medical Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,280.4 M,2022,5.3x,5.3x,5.5x,5.5x,5.5x,5.5x,5.8x,5.8x,6.3x,6.3x,6.1x,6.1x,6.1x
1921,Dalipal Holdings Limited,Energy,Energy Equipment & Services,Energy,421.9 M,2022,0.8x,0.8x,0.8x,0.8x,0.8x,0.8x,0.6x,0.6x,0.6x,0.6x,0.9x,0.9x,0.9x
1442,Infinity Logistics and Transport Ventures Limited,Industrials,Air Freight & Logistics,Transportation,297.1 M,2022,1.2x,1.2x,1.6x,1.6x,2.8x,2.8x,2.3x,2.3x,2.3x,2.3x,0.9x,0.9x,1.0x
6928,TOMO Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,165.7 M,2022,22.4x,22.4x,32.8x,32.8x,14.0x,14.0x,18.1x,18.1x,14.9x,14.9x,9.3x,NA,8.7x
9936,Ximei Resources Holding Limited,Materials,Metals & Mining,Materials,176.6 M,2022,0.5x,0.5x,0.7x,0.7x,1.3x,1.3x,1.1x,1.1x,1.5x,1.5x,1.4x,1.4x,NA
1961,Infinities Technology International (Cayman) Holding Limited,Communication Services,Entertainment,Media,124.5 M,2022,1.8x,1.8x,2.1x,2.1x,3.9x,3.9x,4.4x,4.4x,3.9x,3.9x,2.3x,NA,NA
3991,Changhong Jiahua Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,193.2 M,2022,0.6x,0.6x,0.5x,0.5x,0.7x,0.7x,0.5x,0.5x,0.7x,0.7x,0.6x,NA,0.7x
6968,Ganglong China Property Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.4 M,2022,0.0x,0.0x,0.1x,0.1x,0.2x,0.2x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,NA
846,Mingfa Group (International) Company Limited,Real Estate,Real Estate Management & Development,Real Estate,291.1 M,2022,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x
1795,Yadong Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,203.3 M,2022,0.9x,0.9x,0.7x,0.7x,0.9x,0.9x,1.1x,1.1x,NA,NA,NA,NA,NA
1855,ZONBONG LANDSCAPE Environmental Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,316 M,2022,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x,1.0x,1.0x,1.0x,NA
9600,Newlink Technology Inc.,Information Technology,IT Services,Software & Services,198.4 M,2022,22.3x,22.3x,24.2x,24.2x,29.2x,29.2x,4.1x,4.1x,16.1x,16.1x,3.3x,3.3x,NA
2231,JY Grandmark Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,251.7 M,2022,0.1x,0.1x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.2x,0.2x,0.2x,0.2x,0.1x
672,Zhong An Group Limited,Real Estate,Real Estate Management & Development,Real Estate,167.3 M,2022,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.1x,0.1x,0.2x
1400,Moody Technology Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,162.3 M,2022,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.1x
1821,ESR Group Limited,Real Estate,Real Estate Management & Development,Real Estate,7.664 B,2022,2.0x,2.0x,1.2x,1.2x,1.1x,1.1x,0.8x,0.8x,1.6x,1.6x,1.2x,1.2x,2.0x
1691,JS Global Lifestyle Company Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.46 B,2022,0.9x,0.9x,1.2x,1.2x,1.0x,1.0x,1.3x,1.3x,1.2x,1.2x,1.3x,1.3x,0.7x
6908,HG Semiconductor Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,131.1 M,2022,3.6x,3.6x,6.1x,6.1x,1.6x,1.6x,2.6x,2.6x,4.0x,4.0x,2.2x,NA,3.3x
1597,China Nature Energy Technology Holdings Limited,Industrials,Electrical Equipment,Capital Goods,111.1 M,2022,1.4x,1.4x,1.3x,1.3x,1.5x,1.5x,1.3x,1.3x,NA,NA,NA,NA,NA
9677,"Weihai City Commercial Bank Co., Ltd.",Financials,Banks,Banks,2.346 B,2022,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.2x,0.1x,0.2x,0.2x,NA
2215,Dexin Services Group Limited,Real Estate,Real Estate Management & Development,Real Estate,333.9 M,2022,2.6x,2.6x,2.0x,2.0x,1.2x,1.2x,1.1x,1.1x,NA,NA,NA,NA,NA
2207,"Ronshine Service Holding Co., Ltd",Real Estate,Real Estate Management & Development,Real Estate,271.9 M,2022,2.2x,2.2x,2.3x,2.3x,1.2x,1.2x,1.0x,1.0x,NA,NA,NA,NA,NA
2187,Zhixin Group Holding Limited,Materials,Construction Materials,Materials,414.5 M,2022,0.9x,0.9x,1.0x,1.0x,1.4x,1.4x,1.0x,1.0x,NA,NA,NA,NA,NA
2142,HBM Holdings Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",208.2 M,2022,3.6x,3.6x,5.3x,5.3x,16.3x,16.3x,14.0x,14.0x,8.9x,8.9x,2.0x,2.0x,NA
2285,Chervon Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,2.243 B,2022,1.0x,1.0x,0.8x,0.8x,0.6x,0.6x,0.6x,0.6x,NA,NA,NA,NA,NA
2257,Sirnaomics Ltd.,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",627.2 M,2022,11.3x,11.3x,13.1x,NA,NA,NA,1.1x,NA,NA,NA,NA,NA,NA
2216,Broncus Holding Corporation,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,104.7 M,2022,44.6x,44.6x,26.0x,26.0x,5.3x,5.3x,1.5x,1.5x,NA,NA,NA,NA,NA
2276,"Shanghai Conant Optical Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,256.5 M,2022,1.7x,1.7x,1.8x,1.8x,1.8x,1.8x,NA,NA,NA,NA,NA,NA,NA
6913,South China Vocational Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,244.7 M,2022,1.5x,1.5x,1.5x,1.5x,0.6x,0.6x,0.6x,0.6x,NA,NA,NA,NA,NA
2148,"Vesync Co., Ltd",Consumer Discretionary,Household Durables,Consumer Durables & Apparel,505.2 M,2022,1.6x,1.6x,1.8x,1.8x,2.2x,2.2x,2.4x,2.4x,0.8x,0.8x,0.5x,0.5x,NA
1440,Deyun Holding Ltd.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,215.1 M,2022,5.4x,5.4x,4.8x,4.8x,4.8x,4.8x,1.7x,1.7x,1.9x,1.9x,1.3x,1.3x,NA
2146,"Roiserv Lifestyle Services Co., Ltd.",Real Estate,Real Estate Management & Development,Real Estate,100.6 M,2022,1.7x,1.7x,1.8x,1.8x,1.9x,1.9x,1.3x,1.3x,1.3x,1.3x,0.5x,0.5x,NA
2306,YH Entertainment Group,Communication Services,Entertainment,Media,513.1 M,2022,1.8x,NA,NA,NA,1.4x,NA,NA,NA,NA,NA,NA,NA,NA
2237,China Graphite Group Limited,Materials,Metals & Mining,Materials,262.9 M,2022,-,NA,1.2x,1.2x,NA,NA,NA,NA,NA,NA,NA,NA,NA
1370_OLD,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.6x,0.6x,0.6x,0.6x,0.8x
2459,Sanergy Group Limited,Industrials,Electrical Equipment,Capital Goods,222.9 M,2022,0.7x,0.7x,0.6x,0.6x,NA,NA,NA,NA,NA,NA,NA,NA,NA
6610,Flowing Cloud Technology Ltd,Communication Services,Media,Media,650.2 M,2022,-,NA,NA,2.2x,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482,"Logory Logistics Technology Co., Ltd.",Industrials,Road & Rail,Transportation,493.6 M,2022,-,NA,NA,0.4x,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425,AustAsia Group Ltd.,Consumer Staples,Food Products,"Food, Beverage & Tobacco",312.3 M,2022,0.3x,0.3x,0.4x,0.4x,0.3x,0.3x,NA,NA,NA,NA,NA,NA,NA
1370,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.6x,0.6x,0.6x,0.6x,0.8x
2118,Tian Shan Development (Holding) Limited,Real Estate,Real Estate Management & Development,Real Estate,252.4 M,-,-,NA,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.1x,0.1x,0.2x,0.2x,0.1x
1885,China Wood Optimization (Holding) Limited,Materials,Paper & Forest Products,Materials,114.7 M,-,-,1.0x,3.2x,3.2x,4.6x,4.6x,3.7x,3.7x,3.2x,3.2x,4.3x,4.3x,1.9x
2341,EcoGreen International Group Limited,Materials,Chemicals,Materials,187.6 M,-,-,1.4x,1.6x,1.6x,2.0x,2.0x,1.6x,1.6x,1.4x,1.4x,1.7x,1.7x,1.9x
530,Goldin Financial Holdings Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",131.8 M,-,-,1.4x,1.4x,1.4x,0.2x,0.2x,0.3x,0.3x,0.6x,0.6x,0.2x,0.2x,0.3x
708,China Evergrande New Energy Vehicle Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,4.421 B,-,-,NA,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.7x,0.7x,0.2x
1777,"Fantasia Holdings Group Co., Limited",Real Estate,Real Estate Management & Development,Real Estate,147.1 M,-,-,NA,0.6x,0.6x,0.5x,0.5x,0.6x,0.6x,0.5x,0.5x,0.7x,0.7x,0.7x
30,Ban Loong Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,215.7 M,-,-,NA,2.5x,2.5x,2.6x,2.6x,0.4x,0.4x,0.2x,0.2x,0.2x,0.2x,1.5x
680,Nan Hai Corporation Limited,Communication Services,Entertainment,Media,306.1 M,-,-,NA,0.1x,0.1x,0.2x,0.2x,0.3x,0.3x,0.1x,0.1x,0.2x,0.2x,0.2x
2183,Sansheng Holdings (Group) Co. Ltd.,Real Estate,Real Estate Management & Development,Real Estate,248.7 M,-,-,0.1x,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.0x
678,Genting Hong Kong Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,448.5 M,-,-,NA,0.3x,0.3x,0.1x,0.1x,0.5x,0.5x,0.7x,0.7x,0.7x,0.7x,1.0x
2608,Sunshine 100 China Holdings Ltd,Real Estate,Real Estate Management & Development,Real Estate,120.2 M,-,-,NA,0.3x,0.3x,0.2x,0.2x,0.3x,0.3x,0.2x,0.2x,0.5x,0.5x,0.1x
1909,Fire Rock Holdings Limited,Communication Services,Entertainment,Media,273.9 M,-,-,NA,2.5x,2.5x,17.9x,17.9x,26.7x,26.7x,20.4x,20.4x,6.4x,NA,16.5x
2296,Huarchi Global Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,-,-,NA,1.7x,1.7x,2.4x,2.4x,2.7x,2.7x,2.3x,2.3x,NA,NA,NA
2175,China General Education Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,200.3 M,-,-,NA,4.3x,4.3x,NA,NA,NA,NA,NA,NA,NA,NA,NA
7827,Vision Deal HK Acquisition Corp.,Financials,Capital Markets,Diversified Financials,157.8 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2297,Rainmed Medical Limited,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,169.6 M,-,-,NA,12.7x,12.7x,NA,NA,NA,NA,NA,NA,NA,NA,NA
2421,KRP Development Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,102.4 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9636,JF Wealth Holdings Ltd,Consumer Discretionary,Diversified Consumer Services,Consumer Services,980.2 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6922,"Cryofocus Medtech (Shanghai) Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,561.1 M,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
